sample,iterations,iterations_executed,cg_info,bound,a_min,actual_contrast,resolved_fraction,all_cells_resolved,certified_top10_recall,certified_high_count,certified_low_count,mean_bound_over_mean_abs_error,flux_to_baseline_bound_ratio,corrected_prediction_relative_l2,relative_l2_correction_error,same_A_identity_relative_error,numeric_tolerance,false_high,false_low,bound_violations,raw_positive_bound_exceedances,max_positive_bound_excess_over_error_scale,positive_flux_excess_over_baseline_bound,baseline_flags_lost_by_flux
172,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,2.939480352604626e-11,0.690010853806175,3.091752092749527e-14,3.0408947196909786e-12,3.1550165615100575e-14,4.4072642408956923e-13,0,0,0,0,0.0,0.0,0
173,20,20,20,baseline,1.0,100.0,0.966796875,False,0.883495145631068,91,899,0.13013897558424536,0.5360980112534699,5.160298164457226e-05,0.0005889363984976498,1.9164686770814187e-14,1.5293621913796727e-12,0,0,0,0,0.0,0.0,0
173,20,20,20,equilibrated_flux,1.0,100.0,0.9833984375,False,0.9514563106796117,98,909,0.06976724599727781,0.5360980112534699,5.160298164457226e-05,0.0005889363984976498,1.9164686770814187e-14,1.5293621913796727e-12,0,0,0,0,0.0,0.0,0
173,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.628179241489656e-06,0.4727429024723563,1.1504074030659573e-09,1.3129411722767541e-08,1.9164686770814187e-14,1.5293621913796727e-12,0,0,0,0,0.0,0.0,0
173,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.2424530828394156e-06,0.4727429024723563,1.1504074030659573e-09,1.3129411722767541e-08,1.9164686770814187e-14,1.5293621913796727e-12,0,0,0,0,0.0,0.0,0
174,20,20,20,baseline,1.0,100.0,0.958984375,False,0.8252427184466019,85,897,0.06033564954054452,0.670037139460656,2.338008615595834e-05,0.000577701580789808,1.055408921883502e-14,3.5015475980851403e-13,0,0,0,0,0.0,0.0,0
174,20,20,20,equilibrated_flux,1.0,100.0,0.9697265625,False,0.8640776699029126,89,904,0.040427126025647096,0.670037139460656,2.338008615595834e-05,0.000577701580789808,1.055408921883502e-14,3.5015475980851403e-13,0,0,0,0,0.0,0.0,0
174,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.734185762135392e-05,0.42122384423195647,2.7613099066623937e-09,6.82295645217663e-08,1.055408921883502e-14,3.5015475980851403e-13,0,0,0,0,0.0,0.0,0
174,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.1517042375709516e-05,0.42122384423195647,2.7613099066623937e-09,6.82295645217663e-08,1.055408921883502e-14,3.5015475980851403e-13,0,0,0,0,0.0,0.0,0
175,20,20,20,baseline,1.0,100.0,0.970703125,False,0.883495145631068,91,903,0.21951613058776748,0.6532635148062103,0.0002483664834095991,0.001736633573797272,5.311723065436455e-15,6.69327125589973e-13,0,0,0,0,0.0,0.0,0
175,20,20,20,equilibrated_flux,1.0,100.0,0.9794921875,False,0.9320388349514563,96,907,0.14340187902442406,0.6532635148062103,0.0002483664834095991,0.001736633573797272,5.311723065436455e-15,6.69327125589973e-13,0,0,0,0,0.0,0.0,0
175,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,7.494493208859564e-05,0.5101829219300998,9.440878598683667e-09,6.601271845921034e-08,5.311723065436455e-15,6.69327125589973e-13,0,0,0,0,0.0,0.0,0
175,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,3.8235624436812624e-05,0.5101829219300998,9.440878598683667e-09,6.601271845921034e-08,5.311723065436455e-15,6.69327125589973e-13,0,0,0,0,0.0,0.0,0
176,20,20,20,baseline,1.0,100.0,0.9033203125,False,0.6407766990291263,66,859,0.17937395639414003,0.56883913000378,3.314140383039063e-05,0.0016136696553961138,1.8834679911107515e-14,3.5315423786279745e-13,0,0,0,0,0.0,0.0,0
176,20,20,20,equilibrated_flux,1.0,100.0,0.9521484375,False,0.8058252427184466,83,892,0.10203492530057857,0.56883913000378,3.314140383039063e-05,0.0016136696553961138,1.8834679911107515e-14,3.5315423786279745e-13,0,0,0,0,0.0,0.0,0
176,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.2519936683773352e-05,0.42829993914025216,6.902920311658878e-10,3.361062526992773e-08,1.8834679911107515e-14,3.5315423786279745e-13,0,0,0,0,0.0,0.0,0
176,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,5.362288119699938e-06,0.42829993914025216,6.902920311658878e-10,3.361062526992773e-08,1.8834679911107515e-14,3.5315423786279745e-13,0,0,0,0,0.0,0.0,0
177,20,20,20,baseline,1.0,100.0,0.955078125,False,0.7669902912621359,79,899,0.0770567085517149,0.44551716320635815,1.8228407885174061e-06,0.00016994950106550993,3.64752759731123e-14,2.661888141091216e-13,0,0,0,0,0.0,0.0,0
177,20,20,20,equilibrated_flux,1.0,100.0,0.9814453125,False,0.9029126213592233,93,912,0.03433008619997914,0.44551716320635815,1.8228407885174061e-06,0.00016994950106550993,3.64752759731123e-14,2.661888141091216e-13,0,0,0,0,0.0,0.0,0
177,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,1.4394020374442785e-07,0.8048329367349795,2.986538420449081e-11,2.784448947650558e-09,3.64752759731123e-14,2.661888141091216e-13,0,0,0,0,0.0,0.0,0
177,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.1584781689385914e-07,0.8048329367349795,2.986538420449081e-11,2.784448947650558e-09,3.64752759731123e-14,2.661888141091216e-13,0,0,0,0,0.0,0.0,0
178,20,20,20,baseline,1.0,100.0,0.6494140625,False,0.36893203883495146,38,627,0.8221920068570818,0.5840869599967562,0.0002457704192798309,0.0031576238864456387,1.1644656823981429e-14,6.636166611362882e-13,0,0,0,0,0.0,0.0,0
178,20,20,20,equilibrated_flux,1.0,100.0,0.8408203125,False,0.49514563106796117,51,810,0.48023162981878503,0.5840869599967562,0.0002457704192798309,0.0031576238864456387,1.1644656823981429e-14,6.636166611362882e-13,0,0,0,0,0.0,0.0,0
178,40,40,40,baseline,1.0,100.0,1.0,True,1.0,103,921,2.2676328106884094e-05,0.5451027288347553,9.589668711094109e-09,1.2320671900985206e-07,1.1644656823981429e-14,6.636166611362882e-13,0,0,0,0,0.0,0.0,0
178,40,40,40,equilibrated_flux,1.0,100.0,1.0,True,1.0,103,921,1.236092833101478e-05,0.5451027288347553,9.589668711094109e-09,1.2320671900985206e-07,1.1644656823981429e-14,6.636166611362882e-13,0,0,0,0,0.0,0.0,0
179,20,20,20,baseline,1.0,100.0,0.9140625,False,0.6990291262135923,72,864,0.1400901354304916,0.7044979888153726,2.9683234586823064e-05,0.001642287411974838,8.746751632202568e-15,2.3952342765653934e-13,0,0,0,0,0.0,0.0,0
